from_id,to_id,method,distance_km,time_min,cost_baht
3,44,driving-car,39.86,36.2,803.05
3,45,driving-car,43.34,38.9,656.79
4,1,driving-car,48.91,37.8,612.11
4,2,driving-car,14.86,17.3,536.37
4,3,driving-car,29.55,28.4,1193.52
4,5,driving-car,65.49,52.4,938.79
4,6,driving-car,13.74,12.2,691.59
4,7,driving-car,40.76,34.4,1067.68
4,8,driving-car,20.7,18.6,601.37
4,9,driving-car,28.48,22.7,1210.94
4,10,driving-car,16.33,14.5,1109.01
4,11,driving-car,46.89,35.0,713.66
4,12,driving-car,22.9,18.9,739.22
4,13,driving-car,32.45,28.1,638.89
4,14,driving-car,37.96,35.3,668.54
4,15,driving-car,36.37,33.0,432.66
4,16,driving-car,31.89,25.8,912.23
4,17,driving-car,42.9,38.6,905.56
4,18,driving-car,38.34,35.3,461.55
4,19,driving-car,39.66,33.6,676.56
4,20,driving-car,22.0,22.2,1101.94
4,21,driving-car,32.52,26.8,584.27
4,22,driving-car,34.2,29.1,512.51
4,23,driving-car,39.6,33.4,865.81
4,24,driving-car,21.26,17.3,1165.67
4,25,driving-car,44.0,40.3,680.35
4,26,driving-car,43.52,39.3,1063.34
4,27,driving-car,39.83,36.4,1112.6
4,28,driving-car,39.04,33.0,634.69
4,29,driving-car,47.27,43.2,1145.69
4,30,driving-car,40.96,36.3,767.66
4,31,driving-car,44.7,40.2,1037.53
4,32,driving-car,50.63,37.5,1089.04
4,33,driving-car,47.27,43.2,972.5
4,34,driving-car,58.45,47.7,666.59
4,35,driving-car,58.13,46.6,1334.38
4,36,driving-car,31.47,27.5,648.96
4,37,driving-car,33.39,29.4,543.49
4,38,driving-car,39.12,33.9,458.16
4,39,driving-car,14.75,15.3,763.55
4,40,driving-car,14.97,15.2,843.1
4,41,driving-car,14.94,14.0,248.01
4,42,driving-car,33.45,29.6,836.98
4,43,driving-car,33.8,35.2,582.75
4,44,driving-car,15.41,15.5,817.03
4,45,driving-car,18.88,18.2,417.59
5,1,driving-car,21.19,23.8,899.86
5,2,driving-car,57.58,48.7,925.99
5,3,driving-car,41.09,44.2,1280.83
5,4,driving-car,63.41,53.1,752.96
5,6,driving-car,72.96,52.4,1022.1
5,7,driving-car,102.52,74.7,1117.09
5,8,driving-car,47.31,45.7,1322.85
5,9,driving-car,89.04,63.0,1663.03
5,10,driving-car,76.9,54.8,982.75
5,11,driving-car,98.36,69.0,1565.27
5,12,driving-car,40.89,39.8,1171.56
5,13,driving-car,32.66,34.2,869.46
5,14,driving-car,32.95,34.2,848.79
5,15,driving-car,35.25,39.1,608.17
5,16,driving-car,31.45,33.3,443.89
5,17,driving-car,21.5,26.8,1087.99
