from_id,to_id,method,distance_km,time_min,cost_baht
4,1,motorbike,48.91,30.2,404.23
4,2,motorbike,14.86,13.8,132.52
4,3,motorbike,29.55,22.8,244.9
4,5,motorbike,65.49,41.9,547.91
4,6,motorbike,13.74,9.8,124.68
4,7,motorbike,40.76,27.5,334.96
4,8,motorbike,20.7,14.9,174.1
4,9,motorbike,28.48,18.2,236.34
4,10,motorbike,16.33,11.6,142.81
4,11,motorbike,46.89,28.0,387.06
4,12,motorbike,22.9,15.1,191.7
4,13,motorbike,32.45,22.4,268.1
4,14,motorbike,37.96,28.3,312.18
4,15,motorbike,36.37,26.4,299.46
4,16,motorbike,31.89,20.7,263.62
4,17,motorbike,42.9,30.9,353.15
4,18,motorbike,38.34,28.3,315.22
4,19,motorbike,39.66,26.9,325.78
4,20,motorbike,22.0,17.8,184.5
4,21,motorbike,32.52,21.5,268.66
4,22,motorbike,34.2,23.3,282.1
4,23,motorbike,39.6,26.7,325.3
4,24,motorbike,21.26,13.8,178.58
4,25,motorbike,44.0,32.2,362.5
4,26,motorbike,43.52,31.5,358.42
4,27,motorbike,39.83,29.2,327.14
4,28,motorbike,39.04,26.4,320.82
4,29,motorbike,47.27,34.5,390.3
4,30,motorbike,40.96,29.0,336.66
4,31,motorbike,44.7,32.1,368.45
4,32,motorbike,50.63,30.0,418.86
4,33,motorbike,47.27,34.5,390.3
4,34,motorbike,58.45,38.2,485.33
4,35,motorbike,58.13,37.3,482.61
4,36,motorbike,31.47,22.0,260.26
4,37,motorbike,33.39,23.5,275.62
4,38,motorbike,39.12,27.1,321.46
4,39,motorbike,14.75,12.2,131.75
4,40,motorbike,14.97,12.2,133.29
4,41,motorbike,14.94,11.2,133.08
4,42,motorbike,33.45,23.7,276.1
4,43,motorbike,33.8,28.2,278.9
4,44,motorbike,15.41,12.4,136.37
4,45,motorbike,18.88,14.6,160.66
5,1,motorbike,21.19,19.1,178.02
5,2,motorbike,57.58,39.0,477.93
5,3,motorbike,41.09,35.3,337.77
5,4,motorbike,63.41,42.5,529.19
5,6,motorbike,72.96,41.9,615.14
5,7,motorbike,102.52,59.7,914.96
5,8,motorbike,47.31,36.5,390.63
5,9,motorbike,89.04,50.4,773.42
5,10,motorbike,76.9,43.9,650.6
5,11,motorbike,98.36,55.2,871.28
5,12,motorbike,40.89,31.9,336.06
5,13,motorbike,32.66,27.4,269.78
5,14,motorbike,32.95,27.3,272.1
5,15,motorbike,35.25,31.3,290.5
5,16,motorbike,31.45,26.7,260.1
5,17,motorbike,21.5,21.4,180.5
5,18,motorbike,37.24,32.0,306.42
5,19,motorbike,26.62,21.9,221.46
5,20,motorbike,82.57,50.0,705.48
5,21,motorbike,34.33,29.3,283.14
5,22,motorbike,32.41,27.4,267.78
5,23,motorbike,26.56,21.7,220.98
5,24,motorbike,81.83,46.1,697.72
5,25,motorbike,20.12,20.4,169.46
5,26,motorbike,20.5,19.2,172.5
5,27,motorbike,25.75,22.4,214.5
5,28,motorbike,25.99,21.4,216.42
5,29,motorbike,16.7,15.4,145.4
5,30,motorbike,31.66,26.1,261.78
5,31,motorbike,17.59,17.0,151.63
5,32,motorbike,21.37,19.2,179.46
5,33,motorbike,16.7,15.4,145.4
5,34,motorbike,11.94,14.4,112.08
5,35,motorbike,11.62,13.6,109.84
5,36,motorbike,38.06,30.5,312.98
5,37,motorbike,30.82,26.1,255.06
5,38,motorbike,27.75,23.1,230.5
5,39,motorbike,74.15,44.4,625.85
5,40,motorbike,74.02,44.2,624.68
5,41,motorbike,75.51,43.4,638.09
5,42,motorbike,30.89,26.3,255.62
5,43,motorbike,47.49,38.5,392.17
5,44,motorbike,75.97,44.7,642.23
5,45,motorbike,79.45,46.8,673.55
6,1,motorbike,56.81,29.4,471.38
6,2,motorbike,23.91,18.0,199.78
6,3,motorbike,38.6,27.0,317.3
6,4,motorbike,12.96,9.6,119.22
6,5,motorbike,73.39,41.1,619.01
6,7,motorbike,30.53,20.8,252.74
6,8,motorbike,29.74,19.1,246.42
6,9,motorbike,18.24,11.4,156.18
6,10,motorbike,6.1,4.9,73.15
6,11,motorbike,39.56,22.9,324.98
6,12,motorbike,31.95,19.3,264.1
6,13,motorbike,41.49,26.6,341.17
6,14,motorbike,47.01,32.5,388.08
6,15,motorbike,45.42,30.6,374.57
6,16,motorbike,40.94,24.9,336.49
6,17,motorbike,56.88,31.5,471.98
6,18,motorbike,47.39,32.5,391.31
6,19,motorbike,56.22,29.1,466.37
6,20,motorbike,11.77,11.0,110.89
6,21,motorbike,41.56,25.7,341.76
6,22,motorbike,43.24,27.5,356.04
6,23,motorbike,56.17,28.9,465.95
6,24,motorbike,11.03,7.1,105.71
6,25,motorbike,57.98,32.9,481.33
6,26,motorbike,58.01,31.1,481.58
6,27,motorbike,55.36,29.5,459.06
6,28,motorbike,55.6,28.5,461.1
6,29,motorbike,61.76,34.2,514.34
6,30,motorbike,50.0,33.2,413.5
6,31,motorbike,59.18,31.8,491.53
6,32,motorbike,58.54,29.2,486.09
6,33,motorbike,61.76,34.2,514.34
6,34,motorbike,66.36,37.3,555.74
6,35,motorbike,66.03,36.5,552.77
6,36,motorbike,40.52,26.2,332.92
6,37,motorbike,42.44,27.7,349.24
6,38,motorbike,57.36,30.2,476.06
6,39,motorbike,4.52,5.5,62.88
6,40,motorbike,4.74,5.4,64.31
6,41,motorbike,4.71,4.4,64.11
6,42,motorbike,42.5,27.9,349.75
6,43,motorbike,41.91,28.3,344.73
6,44,motorbike,5.18,5.7,67.17
6,45,motorbike,8.65,7.8,89.72
7,1,motorbike,80.72,42.7,686.06
7,2,motorbike,56.56,36.8,469.26
7,3,motorbike,71.25,45.7,599.75
7,4,motorbike,45.61,28.4,376.19
7,5,motorbike,97.29,54.4,860.05
7,6,motorbike,37.79,22.4,310.82
7,8,motorbike,60.04,35.6,498.86
7,9,motorbike,14.36,15.1,129.02
7,10,motorbike,28.17,21.8,233.86
7,11,motorbike,7.92,7.8,84.98
7,12,motorbike,64.6,38.1,539.9
7,13,motorbike,74.14,45.4,625.76
7,14,motorbike,86.46,47.8,746.33
7,15,motorbike,78.07,49.3,661.13
7,16,motorbike,73.59,43.6,620.81
7,17,motorbike,80.78,44.9,686.69
7,18,motorbike,80.04,51.2,678.92
7,19,motorbike,80.12,42.4,679.76
7,20,motorbike,26.69,23.9,222.02
7,21,motorbike,74.22,44.4,626.48
7,22,motorbike,75.9,46.3,641.6
7,23,motorbike,80.07,42.2,679.23
7,24,motorbike,24.47,18.9,204.26
7,25,motorbike,81.88,46.2,698.24
7,26,motorbike,81.91,44.5,698.55
7,27,motorbike,79.26,42.9,671.84
7,28,motorbike,79.5,41.9,674.0
7,29,motorbike,85.66,47.5,737.93
7,30,motorbike,85.17,46.6,732.78
7,31,motorbike,83.09,45.1,710.95
7,32,motorbike,82.44,42.5,704.12
7,33,motorbike,85.66,47.5,737.93
7,34,motorbike,90.26,50.6,786.23
7,35,motorbike,89.93,49.8,782.77
7,36,motorbike,73.17,44.9,617.03
7,37,motorbike,75.09,46.5,634.31
7,38,motorbike,81.26,43.6,691.73
7,39,motorbike,38.98,24.8,320.34
7,40,motorbike,38.85,24.6,319.3
7,41,motorbike,30.48,23.1,252.34
7,42,motorbike,75.15,46.7,634.85
7,43,motorbike,65.81,41.7,550.79
7,44,motorbike,31.71,24.5,262.18
7,45,motorbike,28.34,23.1,235.22
8,1,motorbike,29.49,21.2,244.42
8,2,motorbike,15.66,13.7,138.12
8,3,motorbike,13.18,12.7,120.76
8,4,motorbike,20.14,14.3,169.62
8,5,motorbike,47.02,36.3,388.17
8,6,motorbike,30.93,19.4,255.94
8,7,motorbike,57.95,37.1,481.08
8,9,motorbike,45.67,27.8,376.69
8,10,motorbike,33.52,21.2,276.66
8,11,motorbike,61.41,35.5,511.19
8,12,motorbike,6.54,5.0,76.01
8,13,motorbike,16.08,12.4,141.06
8,14,motorbike,21.6,18.2,181.3
8,15,motorbike,20.01,16.3,168.58
8,16,motorbike,15.52,10.6,137.14
8,17,motorbike,26.53,20.8,220.74
8,18,motorbike,21.98,18.2,184.34
8,19,motorbike,23.3,16.8,194.9
8,20,motorbike,39.19,27.4,322.02
8,21,motorbike,16.15,11.4,141.55
8,22,motorbike,17.83,13.2,153.31
8,23,motorbike,23.24,16.6,194.42
8,24,motorbike,38.46,23.4,316.18
8,25,motorbike,27.64,22.1,229.62
8,26,motorbike,27.16,21.4,225.78
8,27,motorbike,23.47,19.1,196.26
8,28,motorbike,22.67,16.3,189.86
8,29,motorbike,30.91,24.5,255.78
8,30,motorbike,24.59,18.9,205.22
8,31,motorbike,28.33,22.0,235.14
8,32,motorbike,34.02,23.6,280.66
8,33,motorbike,30.91,24.5,255.78
8,34,motorbike,39.03,29.1,320.74
8,35,motorbike,38.71,28.3,318.18
8,36,motorbike,15.11,11.9,134.27
8,37,motorbike,17.03,13.4,147.71
8,38,motorbike,22.76,17.0,190.58
8,39,motorbike,31.95,21.8,264.1
8,40,motorbike,32.17,21.8,265.86
8,41,motorbike,32.14,20.8,265.62
8,42,motorbike,17.09,13.6,148.13
8,43,motorbike,17.45,17.0,150.65
8,44,motorbike,32.6,22.0,269.3
8,45,motorbike,36.07,24.2,297.06
9,1,motorbike,73.26,38.6,617.84
9,2,motorbike,40.3,27.3,331.05
9,3,motorbike,54.98,36.2,455.83
9,4,motorbike,29.35,18.9,243.3
9,5,motorbike,89.83,50.2,781.71
9,6,motorbike,17.63,11.0,151.91
9,7,motorbike,13.57,10.9,123.49
9,8,motorbike,46.13,28.4,380.61
9,10,motorbike,14.51,9.6,130.07
9,11,motorbike,21.5,15.8,180.5
9,12,motorbike,48.34,28.6,399.39
9,13,motorbike,57.88,35.9,480.48
9,14,motorbike,63.39,41.8,529.01
9,15,motorbike,61.81,39.9,514.79
9,16,motorbike,57.32,34.2,475.72
9,17,motorbike,73.32,40.7,618.38
9,18,motorbike,63.78,41.8,532.52
9,19,motorbike,72.67,38.2,612.53
9,20,motorbike,13.03,11.7,119.71
9,21,motorbike,57.95,35.0,481.08
9,22,motorbike,59.63,36.8,495.36
9,23,motorbike,72.61,38.1,611.99
9,24,motorbike,10.82,6.8,104.24
9,25,motorbike,74.42,42.0,628.28
9,26,motorbike,74.45,40.3,628.55
9,27,motorbike,71.8,38.7,604.7
9,28,motorbike,72.04,37.7,606.86
9,29,motorbike,78.21,43.4,662.39
9,30,motorbike,77.71,42.4,657.89
9,31,motorbike,75.63,41.0,639.17
9,32,motorbike,74.98,38.3,633.32
9,33,motorbike,78.21,43.4,662.39
9,34,motorbike,82.8,46.5,707.9
9,35,motorbike,82.47,45.6,704.43
9,36,motorbike,56.91,35.5,472.23
9,37,motorbike,58.83,37.0,488.55
9,38,motorbike,73.8,39.4,622.7
9,39,motorbike,18.56,13.5,158.42
9,40,motorbike,18.86,13.4,160.52
9,41,motorbike,16.82,10.9,146.24
9,42,motorbike,58.89,37.2,489.06
9,43,motorbike,58.36,37.5,484.56
9,44,motorbike,18.05,12.3,154.85
9,45,motorbike,14.69,11.0,131.33
10,1,motorbike,60.37,31.1,501.83
10,2,motorbike,27.4,19.9,227.7
10,3,motorbike,42.09,28.8,346.27
10,4,motorbike,16.46,11.5,143.72
10,5,motorbike,76.94,42.8,650.96
10,6,motorbike,4.73,3.6,64.25
10,7,motorbike,26.0,18.0,216.5
10,8,motorbike,33.24,21.0,274.42
10,9,motorbike,13.72,8.6,124.54
10,11,motorbike,33.93,22.9,279.94
10,12,motorbike,35.45,21.2,292.1
10,13,motorbike,44.99,28.5,370.92
10,14,motorbike,50.5,34.4,417.75
10,15,motorbike,48.92,32.5,404.32
10,16,motorbike,44.43,26.8,366.15
10,17,motorbike,60.43,33.3,502.37
10,18,motorbike,50.88,34.3,420.98
10,19,motorbike,59.78,30.8,496.63
10,20,motorbike,5.93,8.1,72.05
10,21,motorbike,45.06,27.6,371.51
10,22,motorbike,46.74,29.4,385.79
10,23,motorbike,59.72,30.7,496.12
10,24,motorbike,6.5,4.3,75.75
10,25,motorbike,61.53,34.6,512.27
10,26,motorbike,61.56,32.9,512.54
10,27,motorbike,58.91,31.3,489.23
10,28,motorbike,59.15,30.3,491.27
10,29,motorbike,65.31,36.0,546.29
10,30,motorbike,64.82,35.0,541.88
10,31,motorbike,62.74,33.5,523.16
10,32,motorbike,62.09,30.9,517.31
10,33,motorbike,65.31,36.0,546.29
10,34,motorbike,69.91,39.1,587.69
10,35,motorbike,69.58,38.2,584.72
10,36,motorbike,44.01,28.1,362.58
10,37,motorbike,45.94,29.6,378.99
10,38,motorbike,60.91,32.0,506.69
10,39,motorbike,4.22,5.9,60.93
10,40,motorbike,5.97,6.0,72.31
10,41,motorbike,3.93,3.5,59.05
10,42,motorbike,46.0,29.8,379.5
10,43,motorbike,45.47,30.1,375.0
10,44,motorbike,5.16,4.9,67.04
10,45,motorbike,4.12,5.0,60.28
11,1,motorbike,80.07,41.6,679.23
11,2,motorbike,55.92,35.7,463.82
11,3,motorbike,70.6,44.6,593.9
11,4,motorbike,44.97,27.3,370.75
11,5,motorbike,96.65,53.3,853.33
11,6,motorbike,37.15,21.3,305.7
11,7,motorbike,9.65,7.8,96.22
11,8,motorbike,59.4,34.5,493.4
11,9,motorbike,17.11,14.9,148.27
11,10,motorbike,30.92,21.6,255.86
11,12,motorbike,63.96,36.9,534.14
11,13,motorbike,73.5,44.3,620.0
11,14,motorbike,85.82,46.7,739.61
11,15,motorbike,77.43,48.2,655.37
11,16,motorbike,72.94,42.5,614.96
11,17,motorbike,80.14,43.8,679.97
11,18,motorbike,79.4,50.1,673.1
11,19,motorbike,79.48,41.3,673.82
11,20,motorbike,29.45,23.7,244.1
11,21,motorbike,73.57,43.3,620.63
11,22,motorbike,75.25,45.2,635.75
11,23,motorbike,79.42,41.1,673.28
11,24,motorbike,27.23,18.7,226.34
11,25,motorbike,81.24,45.1,691.52
11,26,motorbike,81.27,43.4,691.83
11,27,motorbike,78.61,41.8,665.99
11,28,motorbike,78.86,40.8,668.24
11,29,motorbike,85.02,46.4,731.21
11,30,motorbike,84.52,45.5,725.96
11,31,motorbike,82.44,44.0,704.12
11,32,motorbike,81.8,41.4,697.4
11,33,motorbike,85.02,46.4,731.21
11,34,motorbike,89.61,49.5,779.4
11,35,motorbike,89.29,48.7,776.05
11,36,motorbike,72.53,43.8,611.27
11,37,motorbike,74.45,45.4,628.55
11,38,motorbike,80.62,42.4,685.01
11,39,motorbike,38.34,23.7,315.22
11,40,motorbike,38.21,23.5,314.18
11,41,motorbike,39.69,22.8,326.02
11,42,motorbike,74.51,45.5,629.09
11,43,motorbike,65.17,40.5,545.03
11,44,motorbike,40.16,24.0,329.86
11,45,motorbike,31.1,22.9,257.3
12,1,motorbike,23.64,17.6,197.62
12,2,motorbike,17.84,13.9,153.38
12,3,motorbike,7.34,9.1,81.21
12,4,motorbike,22.32,14.5,187.06
12,5,motorbike,41.17,32.7,338.44
12,6,motorbike,33.11,19.6,273.38
12,7,motorbike,60.13,37.3,499.67
12,8,motorbike,6.49,4.9,75.69
12,9,motorbike,47.85,28.0,395.23
12,10,motorbike,35.7,21.4,294.1
12,11,motorbike,66.26,37.8,554.84
12,13,motorbike,10.23,8.8,100.11
12,14,motorbike,15.75,14.6,138.75
12,15,motorbike,14.16,12.7,127.62
12,16,motorbike,9.68,7.0,96.42
12,17,motorbike,20.68,17.2,173.94
12,18,motorbike,16.13,14.6,141.41
12,19,motorbike,17.45,13.2,150.65
12,20,motorbike,41.37,27.6,340.14
12,21,motorbike,10.3,7.8,100.6
12,22,motorbike,11.98,9.6,112.36
12,23,motorbike,17.39,13.0,150.23
12,24,motorbike,40.63,23.6,333.86
12,25,motorbike,21.79,18.5,182.82
12,26,motorbike,21.31,17.8,178.98
12,27,motorbike,17.62,15.5,151.84
12,28,motorbike,16.82,12.7,146.24
