from_id,to_id,method,distance_km,time_min,cost_baht
4,1,driving-car,48.91,37.8,404.23
4,2,driving-car,14.86,17.3,132.52
4,3,driving-car,29.55,28.4,244.9
4,5,driving-car,65.49,52.4,547.91
4,6,driving-car,13.74,12.2,124.68
4,7,driving-car,40.76,34.4,334.96
4,8,driving-car,20.7,18.6,174.1
4,9,driving-car,28.48,22.7,236.34
4,10,driving-car,16.33,14.5,142.81
4,11,driving-car,46.89,35.0,387.06
4,12,driving-car,22.9,18.9,191.7
4,13,driving-car,32.45,28.1,268.1
4,14,driving-car,37.96,35.3,312.18
4,15,driving-car,36.37,33.0,299.46
4,16,driving-car,31.89,25.8,263.62
4,17,driving-car,42.9,38.6,353.15
4,18,driving-car,38.34,35.3,315.22
4,19,driving-car,39.66,33.6,325.78
4,20,driving-car,22.0,22.2,184.5
4,21,driving-car,32.52,26.8,268.66
4,22,driving-car,34.2,29.1,282.1
4,23,driving-car,39.6,33.4,325.3
4,24,driving-car,21.26,17.3,178.58
4,25,driving-car,44.0,40.3,362.5
4,26,driving-car,43.52,39.3,358.42
4,27,driving-car,39.83,36.4,327.14
4,28,driving-car,39.04,33.0,320.82
4,29,driving-car,47.27,43.2,390.3
4,30,driving-car,40.96,36.3,336.66
4,31,driving-car,44.7,40.2,368.45
4,32,driving-car,50.63,37.5,418.86
4,33,driving-car,47.27,43.2,390.3
4,34,driving-car,58.45,47.7,485.33
4,35,driving-car,58.13,46.6,482.61
4,36,driving-car,31.47,27.5,260.26
4,37,driving-car,33.39,29.4,275.62
4,38,driving-car,39.12,33.9,321.46
4,39,driving-car,14.75,15.3,131.75
4,40,driving-car,14.97,15.2,133.29
4,41,driving-car,14.94,14.0,133.08
4,42,driving-car,33.45,29.6,276.1
4,43,driving-car,33.8,35.2,278.9
4,44,driving-car,15.41,15.5,136.37
4,45,driving-car,18.88,18.2,160.66
5,1,driving-car,21.19,23.8,178.02
5,2,driving-car,57.58,48.7,477.93
5,3,driving-car,41.09,44.2,337.77
5,4,driving-car,63.41,53.1,529.19
5,6,driving-car,72.96,52.4,615.14
5,7,driving-car,102.52,74.7,914.96
5,8,driving-car,47.31,45.7,390.63
5,9,driving-car,89.04,63.0,773.42
5,10,driving-car,76.9,54.8,650.6
5,11,driving-car,98.36,69.0,871.28
5,12,driving-car,40.89,39.8,336.06
5,13,driving-car,32.66,34.2,269.78
5,14,driving-car,32.95,34.2,272.1
5,15,driving-car,35.25,39.1,290.5
5,16,driving-car,31.45,33.3,260.1
5,17,driving-car,21.5,26.8,180.5
5,18,driving-car,37.24,40.0,306.42
5,19,driving-car,26.62,27.4,221.46
5,20,driving-car,82.57,62.6,705.48
5,21,driving-car,34.33,36.6,283.14
5,22,driving-car,32.41,34.3,267.78
